# https://github.com/AndrewFromMelbourne/raspberry_pi_revision
# https://www.raspberrypi.org/documentation/hardware/raspberrypi/revision-codes/README.md
# https://en.wikipedia.org/wiki/Raspberry_Pi
# https://en.wikipedia.org/wiki/Raspberry_Pi
#Revision;Release Date;Model;PCB Revision;Memory;Manufacturer
Beta;Q1 2012;B (Beta);?;256 MB;Beta Board
0002;Q1 2012;B;1.0;256 MB;
0003;Q3 2012;B (ECN0001);1.0;256 MB;Fuses mod and D14 removed
0004;Q3 2012;B;2.0;256 MB;Sony UK
0005;Q4 2012;B;2.0;256 MB;Qisda
0006;Q4 2012;B;2.0;256 MB;Egoman
0007;Q1 2013;A;2.0;256 MB;Egoman
0008;Q1 2013;A;2.0;256 MB;Sony UK
0009;Q1 2013;A;2.0;256 MB;Qisda
000d;Q4 2012;B;2.0;512 MB;Egoman
000e;Q4 2012;B;2.0;512 MB;Sony UK
000f;Q4 2012;B;2.0;512 MB;Qisda
0010;Q3 2014;B+;1.0;512 MB;Sony UK
0011;Q2 2014;Compute Module 1;1.0;512 MB;Sony UK
0012;Q4 2014;A+;1.1;256 MB;Sony UK
0013;Q1 2015;B+;1.2;512 MB;Embet
0014;Q2 2014;Compute Module 1;1.0;512 MB;Embest
0015;?;A+;1.1;256 MB / 512 MB;Embest
900021;A+;1.1;512MB;Sony UK
900032;B+;1.2;512MB;Sony UK
900061;CM;1.1;512MB;Sony UK
900092;Zero;1.2;512MB;Sony UK
900093;Zero;1.3;512MB;Sony UK
9000c1;Zero W;1.1;512MB;Sony UK
9020e0;3A+;1.0;512MB;Sony UK
902120;Zero 2 W;1.0;512MB;Sony UK
920092;Zero;1.2;512MB;Embest
920093;Zero;1.3;512MB;Embest
a01040;2B;1.0;1GB;Sony UK
a01041;2B;1.1;1GB;Sony UK
a02042;2B (with BCM2837);1.2;1GB;Sony UK
a02082;3B;1.2;1GB;Sony UK
a020a0;CM3;1.0;1GB;Sony UK
a020d3;3B+;1.3;1GB;Sony UK
a02100;CM3+;1.0;1GB;Sony UK
a03111;4B;1.1;1GB;Sony UK
a03140;CM4;1.0;1GB;Sony UK
a21041;2B;1.1;1GB;Embest
a22042;2B (with BCM2837);1.2;1GB;Embest
a22082;3B;1.2;1GB;Embest
a22083;3B;1.3;1GB;Embest
a220a0;CM3;1.0;1GB;Embest
a32082;3B;1.2;1GB;Sony Japan
a52082;3B;1.2;1GB;Stadium
b03111;4B;1.1;2GB;Sony UK
b03112;4B;1.2;2GB;Sony UK
b03114;4B;1.4;2GB;Sony UK
b03140;CM4;1.0;2GB;Sony UK
c03111;4B;1.1;4GB;Sony UK
c03112;4B;1.2;4GB;Sony UK
c03114;4B;1.4;4GB;Sony UK
c03130;Pi 400;1.0;4GB;Sony UK
c03140;CM4;1.0;4GB;Sony UK
d03114;4B;1.4;8GB;Sony UK
d03140;CM4;1.0;8GB;Sony UK

